Facility_ID,Customer_ID,Facility_Name,Facility_Type,City
F0001,C0011,Facility 1,Hotel,Hyderabad
F0002,C0460,Facility 2,Hotel,Chennai
F0003,C0045,Facility 3,Hotel,Bengaluru
F0004,C0005,Facility 4,Warehouse,Bengaluru
F0005,C0467,Facility 5,Hospital,Chennai
F0006,C0095,Facility 6,Warehouse,Pune
F0007,C0409,Facility 7,Restaurant,Chennai
F0008,C0016,Facility 8,Restaurant,Pune
F0009,C0077,Facility 9,Restaurant,Hyderabad
F0010,C0056,Facility 10,Warehouse,Bengaluru
F0011,C0354,Facility 11,Hotel,Bengaluru
F0012,C0311,Facility 12,Hotel,Bengaluru
F0013,C0238,Facility 13,Restaurant,Bengaluru
F0014,C0121,Facility 14,Hospital,Bengaluru
F0015,C0045,Facility 15,Restaurant,Bengaluru
F0016,C9999,Facility 16,Plant,Hyderabad
F0017,C0116,Facility 17,Restaurant,Chennai
F0018,C0296,Facility 18,Hospital,Hyderabad
F0019,C0344,Facility 19,Hospital,Hyderabad
F0020,C0425,Facility 20,Plant,Delhi
F0021,C0247,Facility 21,Hospital,Delhi
F0022,C0003,Facility 22,Restaurant,Pune
F0023,C0141,Facility 23,Restaurant,Chennai
F0024,C0427,Facility 24,Plant,Mumbai
F0025,C0267,Facility 25,Plant,Mumbai
F0026,C0310,Facility 26,Restaurant,Chennai
F0027,C0229,Facility 27,Hospital,Pune
F0028,C0082,Facility 28,Hospital,Delhi
F0029,C0449,Facility 29,Restaurant,Chennai
F0030,C0387,Facility 30,Hospital,Delhi
F0031,C0498,Facility 31,Plant,Chennai
F0032,C0428,Facility 32,Hospital,Delhi
F0033,C0146,Facility 33,Plant,Pune
F0034,C0128,Facility 34,Plant,Delhi
F0035,C0125,Facility 35,Warehouse,Pune
F0036,C0460,Facility 36,Hotel,pune
F0037,C0279,Facility 37,Plant,Pune
F0038,C0228,Facility 38,Hotel,Bengaluru
F0039,C0485,Facility 39,Hospital,Chennai
F0040,C0302,Facility 40,Hotel,Mumbai
F0041,C0455,Facility 41,Hotel,Chennai
F0042,C0493,Facility 42,Hotel,Hyderabad
F0043,C0040,Facility 43,Hotel,Hyderabad
F0044,C0181,Facility 44,Warehouse,Delhi
F0045,C0368,Facility 45,Hotel,Bengaluru
F0046,C0407,Facility 46,Hospital,Bengaluru
F0047,C0075,Facility 47,Plant,Delhi
F0048,C0160,Facility 48,Warehouse,Hyderabad
F0049,C0275,Facility 49,Warehouse,Hyderabad
F0050,C0400,Facility 50,Hotel,Mumbai
F0051,C0057,Facility 51,Warehouse,Mumbai
F0052,C0301,Facility 52,Plant,Mumbai
F0053,C0149,Facility 53,Hotel,Mumbai
F0054,C0109,Facility 54,Restaurant,Mumbai
F0055,C0258,Facility 55,Warehouse,Chennai
F0056,C0208,Facility 56,Hospital,Pune
F0057,C0318,Facility 57,Hotel,Hyderabad
F0058,C0159,Facility 58,Warehouse,Delhi
F0059,C0412,Facility 59,Warehouse,Chennai
F0060,C0040,Facility 60,Warehouse,Bengaluru
F0061,C0431,Facility 61,Warehouse,Pune
F0062,C0015,Facility 62,Warehouse,Delhi
F0063,C0368,Facility 63,Restaurant,Pune
F0064,C0174,Facility 64,Hotel,Chennai
F0065,C0192,Facility 65,Plant,Chennai
F0066,C0010,Facility 66,Hospital,Mumbai
F0067,C0352,Facility 67,Restaurant,Chennai
F0068,C0083,Facility 68,Plant,Mumbai
F0069,C0330,Facility 69,Warehouse,Mumbai
F0070,C0363,Facility 70,Hospital,Chennai
F0071,C0423,Facility 71,,Delhi
F0072,C0355,Facility 72,Plant,Mumbai
F0073,C0151,Facility 73,Hotel,Delhi
F0074,C0370,Facility 74,Restaurant,Delhi
F0075,C0413,Facility 75,Plant,Chennai
F0076,C0159,Facility 76,Restaurant,Pune
F0077,C0063,Facility 77,Hospital,Mumbai
F0078,C0446,Facility 78,Warehouse,Chennai
F0079,C0074,Facility 79,Hospital,Delhi
F0080,C0297,Facility 80,Plant,Chennai
F0081,C0119,Facility 81,Restaurant,Bengaluru
F0082,C0064,Facility 82,Hotel,Mumbai
F0083,C0389,Facility 83,Restaurant,Delhi
F0084,C0072,Facility 84,Hotel,Mumbai
F0085,C0336,Facility 85,Warehouse,Bengaluru
F0086,C0347,Facility 86,Plant,Delhi
F0087,C0031,Facility 87,Hospital,Hyderabad
F0088,C0087,Facility 88,Restaurant,Mumbai
F0089,C0398,Facility 89,Plant,Pune
F0090,C0254,Facility 90,Hospital,Bengaluru
F0091,C0061,Facility 91,Hospital,Delhi
F0092,C0496,Facility 92,Restaurant,Bengaluru
F0093,C0133,Facility 93,Hospital,Chennai
F0094,C0003,Facility 94,Plant,Mumbai
F0095,C0463,Facility 95,Hotel,Chennai
F0096,C0009,Facility 96,Warehouse,Chennai
F0097,C0277,Facility 97,Hospital,Hyderabad
F0098,C0497,Facility 98,Restaurant,Chennai
F0099,C0289,Facility 99,Hotel,Hyderabad
F0100,C0293,Facility 100,Hospital,Bengaluru
F0101,C0195,Facility 101,Plant,Chennai
F0102,C0064,Facility 102,Hospital,Delhi
F0103,C0287,Facility 103,Hotel,Delhi
F0104,C0449,Facility 104,Restaurant,Mumbai
F0105,C0046,Facility 105,Hotel,Chennai
