Request_ID,Customer_ID,Facility_ID,Technician_ID,Request_Date,Status,Priority
SR00001,C0025,F0379,T044,31-05-2026,Cancelled,Low
SR00002,C0440,F0240,T058,05-03-2026,Completed,High
SR00003,C0093,F0494,T011,14-05-2026,Completed,Critical
SR00004,C0136,F0186,T041,23-05-2026,In Progress,Critical
SR00005,C0431,F0349,T065,05-06-2026,Completed,High
SR00006,C0447,F0497,T082,11-07-2026,open,High
SR00007,C0459,F0052,T094,31-07-2026,Completed,Medium
SR00008,C0213,F0630,T035,06-07-2026,Completed,Critical
SR00009,C0379,F0573,T040,11-07-2026,Completed,High
SR00010,C0164,F0046,T088,28-07-2026,Completed,Medium
SR00011,C0371,F0052,T070,28-02-2026,Completed,Medium
SR00012,C0252,F0681,T028,12-03-2026,Open,Low
SR00013,C0026,F0227,T069,08-05-2026,Open,Medium
SR00014,C0209,F0689,T016,22-04-2026,Cancelled,High
SR00015,C0234,F0400,T045,18-06-2026,Cancelled,Medium
SR00016,C0129,F0274,T031,03-01-2026,in-progress,Medium
SR00017,C0188,F0219,T100,03-02-2026,In Progress,Medium
SR00018,C0252,F0528,T004,29-06-2026,Completed,Low
SR00019,C0025,F0088,T086,17-07-2026,Completed,Critical
SR00020,C0076,F0323,T029,14-03-2026,Completed,Medium
SR00021,C0384,F0277,T004,16-03-2026,Open,Low
SR00022,C0176,F0124,T067,15-05-2026,Completed,Low
SR00023,C0305,F0283,T068,25-04-2026,In Progress,High
SR00024,C0283,F0423,T015,10-02-2026,In Progress,High
SR00025,C0276,F0543,T004,01-05-2026,In Progress,Low
SR00026,C0207,F0070,T012,16-07-2026,COMP,Low
SR00027,C0242,F0698,T041,25-06-2026,Completed,Medium
SR00028,C0412,F0703,T014,16-07-2026,In Progress,Low
SR00029,C0483,F0554,T071,04-06-2026,Completed,High
SR00030,C0129,F0740,T008,30-07-2026,Completed,Low
SR00031,C0335,F0343,T079,01-03-2026,Completed,Medium
SR00032,C0485,F0658,T088,12-01-2026,Cancelled,Medium
SR00033,C0004,F0582,T072,28-01-2026,Open,Medium
SR00034,C0393,F0451,T095,27-08-2026,Completed,Medium
SR00035,C0249,F0144,T094,03-06-2026,Completed,Low
SR00036,C0484,F0447,T005,01-03-2026,Completed,Medium
SR00037,C0290,F0722,T035,24-07-2026,Completed,Low
SR00038,C0420,F0788,T077,16-03-2026,In Progress,Low
SR00039,C0084,F0359,T034,24-05-2026,Open,Critical
SR00040,C0072,F0199,T074,01-03-2026,Cancelled,Medium
SR00041,C0464,F0599,T078,2026-02-30,Completed,Medium
SR00042,C0264,F0061,T100,06-03-2026,Completed,Low
SR00043,C0280,F0121,T033,24-02-2026,Completed,High
SR00044,C0085,F0450,T035,13-05-2026,Open,High
SR00045,C0114,F0793,T003,05-01-2026,In Progress,High
SR00046,C0410,F0264,T029,27-02-2026,Completed,Medium
SR00047,C0152,F0355,T029,17-05-2026,Completed,High
SR00048,C0293,F0258,T046,05-04-2026,Completed,Medium
SR00049,C0159,F0353,T043,02-06-2026,Completed,High
SR00050,C0132,F0006,T086,07-06-2026,Completed,High
SR00051,C0084,F0476,T078,20-08-2026,Completed,Low
SR00052,C0465,F0477,T073,20-07-2026,Open,Medium
SR00053,C0471,F0253,T001,24-02-2026,Completed,Medium
SR00054,C0058,F0212,T048,16-06-2026,Completed,Low
SR00055,C0177,F0610,T073,31-05-2026,In Progress,High
SR00056,C0282,F0151,T025,31/04/2026,In Progress,Low
SR00057,C0192,F0038,T043,11-07-2026,In Progress,High
SR00058,C0361,F0033,T073,05-02-2026,In Progress,Critical
SR00059,C0131,F0706,T080,01-04-2026,Completed,Medium
SR00060,C0030,F0292,T086,15-07-2026,Open,Medium
SR00061,C0169,F0082,T043,03-08-2026,Completed,Medium
SR00062,C0299,F0704,T040,09-01-2026,Open,High
SR00063,C0091,F0119,T039,24-04-2026,Open,Medium
SR00064,C0408,F0270,T067,05-03-2026,In Progress,Medium
SR00065,C0007,F0017,T042,10-02-2026,In Progress,Medium
SR00066,C0034,F0544,T041,14-01-2026,Cancelled,High
SR00067,C0255,F0560,T017,10-05-2026,In Progress,Medium
SR00068,C0257,F0606,T048,10-06-2026,In Progress,Medium
SR00069,C0148,F0211,T024,08-05-2026,In Progress,Critical
SR00070,C0130,F0263,T053,30-03-2026,Completed,Low
SR00071,C9999,F0751,T089,05-07-2026,Completed,Low
SR00072,C0332,F0658,T078,06-06-2026,Completed,Medium
SR00073,C0190,F0030,T048,07-08-2026,Completed,Low
SR00074,C0060,F0554,T098,25-03-2026,Completed,Low
SR00075,C0200,F0651,T099,27-02-2026,Completed,Medium
SR00076,C0469,F0448,T045,20-04-2026,Completed,High
SR00077,C0131,F0512,T077,02-05-2026,Completed,Medium
SR00078,C0448,F0001,T035,20-04-2026,In Progress,Medium
SR00079,C0130,F0025,T088,19-07-2026,Completed,Medium
SR00080,C0093,F0029,T038,11-01-2026,Completed,Medium
SR00081,C0131,F0128,T026,07-05-2026,Completed,High
SR00082,C0162,F0793,T014,14-04-2026,Cancelled,High
SR00083,C0061,F0508,T085,20-02-2026,Completed,High
SR00084,C0294,F0626,T030,03-06-2026,In Progress,High
SR00085,C0167,F0237,T082,12-07-2026,Completed,High
SR00086,C0360,F0751,T009,12-05-2026,Completed,Low
SR00087,C0246,F0160,T051,21-01-2026,Completed,Critical
SR00088,C0222,F0722,T043,19-01-2026,Completed,High
SR00089,C0236,F0025,T044,12-04-2026,Completed,Medium
SR00090,C0079,F0017,T017,10-06-2026,Completed,Low
SR00091,C0357,F9999,T008,17-03-2026,Completed,Medium
