Transaction_ID,Request_ID,Customer_ID,Facility_ID,Product_ID,Technician_ID,Service_Date,Quantity,Status
TX000001,SR00575,C0078,F0614,P0048,T010,26-02-2026,37,Pending
TX000002,SR00177,C0008,F0575,P0021,T029,28-06-2026,13,Pending
TX000003,SR01220,C0323,F0717,P0063,T020,09-06-2026,34,Pending
TX000004,SR00203,C0242,F0561,P0032,T031,11-01-2026,5,Pending
TX000005,SR00284,C0130,F0477,P0049,T026,02-08-2026,21,Completed
TX000006,SR01166,C0028,F0094,P0094,T065,09-04-2026,18,Cancelled
TX000007,SR02040,C0473,F0613,P0055,T007,14-03-2026,17,Completed
TX000008,SR02486,C0414,F0185,P0031,T094,21-04-2026,43,Completed
TX000009,SR01570,C0468,F0086,P0068,T025,05-04-2026,4,Pending
TX000010,SR00692,C0057,F0586,P0074,T100,01-05-2026,31,Pending
TX000011,SR00821,C0008,F0471,P0061,T073,09-02-2026,-5,Pending
TX000012,SR01532,C0109,F0120,P0005,T036,03-02-2026,24,Completed
TX000013,SR00434,C0051,F0440,P0023,T031,26-08-2026,10,Completed
TX000014,SR01297,C0230,F0553,P0013,T095,29-06-2026,36,Completed
TX000015,SR01923,C0323,F0400,P0096,T100,28-03-2026,3,Pending
TX000016,SR02106,C0098,F0575,P0032,T062,23-07-2026,4,Completed
TX000017,SR00148,C0199,F0404,P0048,T005,10-07-2026,17,Completed
TX000018,SR00722,C0270,F0283,P0091,T091,17-06-2026,44,Completed
TX000019,SR00638,C0159,F0179,P0100,T048,23-06-2026,2,Completed
TX000020,SR01388,C0231,F0207,P0022,T003,17-08-2026,9,Completed
TX000021,SR00464,C0296,F0648,P0086,T081,20-07-2026,25,Completed
TX000022,SR02377,C0477,F0299,P0073,T004,03-03-2026,2,Completed
TX000023,SR02293,C0156,F0573,P0062,T038,24-06-2026,27,Completed
TX000024,SR00832,C0045,F0288,P0017,T008,08-02-2026,18,Pending
TX000025,SR01018,C0435,F0421,P0070,T044,01-05-2026,32,Completed
TX000026,SR01099,C0289,F0486,P0062,T081,17-01-2026,0,Pending
TX000027,SR00107,C0237,F0383,P0045,T013,10-02-2026,9,Completed
TX000028,SR02223,C0361,F0596,P0059,T014,23-06-2026,9,Completed
TX000029,SR01949,C0491,F0740,P0022,T096,31-03-2026,37,Completed
TX000030,SR00832,C0064,F0690,P0063,T018,08-02-2026,37,Completed
TX000031,SR01369,C0431,F0738,P0016,T012,24-08-2026,6,Completed
TX000032,SR00952,C0319,F0024,P0029,T059,14-08-2026,20,Completed
